,Input,Action,Asset,Start,End
0,Modifica la prenotazione di sala riunioni al giorno 06/01/2025 dalle 10:58 alle 14:58,modifica,sala riunioni,2025-01-06T10:58:24.286Z,2025-01-06T14:58:24.286Z
1,Prenota auditorium per il giorno 16/01/2025 dalle 09:28 alle 19:28,prenota,auditorium,2025-01-16T09:28:24.286Z,2025-01-16T19:28:24.286Z
2,Cancella la prenotazione di sala riunioni per il giorno 06/01/2025 dalle 00:43 alle 04:43,cancella,sala riunioni,2025-01-06T00:43:24.286Z,2025-01-06T04:43:24.286Z
3,Modifica la prenotazione di ufficio B al giorno 06/01/2025 dalle 07:43 alle 16:43,modifica,ufficio B,2025-01-06T07:43:24.299Z,2025-01-06T16:43:24.299Z
4,Cancella la prenotazione di auditorium per il giorno 01/03/2025 dalle 08:58 alle 09:58,cancella,auditorium,2025-03-01T08:58:24.299Z,2025-03-01T09:58:24.299Z
5,Prenota desk 18 per il giorno 26/02/2025 dalle 04:58 alle 07:58,prenota,desk 18,2025-02-26T04:58:24.299Z,2025-02-26T07:58:24.299Z
6,Prenota desk 40 per il giorno 15/02/2025 dalle 00:28 alle 07:28,prenota,desk 40,2025-02-15T00:28:24.299Z,2025-02-15T07:28:24.299Z
7,Prenota sala meeting per il giorno 16/02/2025 dalle 08:58 alle 09:58,prenota,sala meeting,2025-02-16T08:58:24.299Z,2025-02-16T09:58:24.299Z
8,Modifica la prenotazione di ufficio A al giorno 12/03/2025 dalle 01:13 alle 03:13,modifica,ufficio A,2025-03-12T01:13:24.299Z,2025-03-12T03:13:24.299Z
9,Modifica la prenotazione di sala meeting al giorno 24/03/2025 dalle 08:58 alle 18:58,modifica,sala meeting,2025-03-24T08:58:24.299Z,2025-03-24T18:58:24.299Z
10,Prenota desk 18 per il giorno 10/01/2025 dalle 23:43 alle 04:43,prenota,desk 18,2025-01-10T23:43:24.299Z,2025-01-11T04:43:24.299Z
11,Prenota desk 40 per il giorno 01/02/2025 dalle 12:28 alle 19:28,prenota,desk 40,2025-02-01T12:28:24.299Z,2025-02-01T19:28:24.299Z
12,Cancella la prenotazione di ufficio A per il giorno 25/03/2025 dalle 12:58 alle 15:58,cancella,ufficio A,2025-03-25T12:58:24.299Z,2025-03-25T15:58:24.299Z
13,Cancella la prenotazione di sala meeting per il giorno 29/01/2025 dalle 09:58 alle 11:58,cancella,sala meeting,2025-01-29T09:58:24.299Z,2025-01-29T11:58:24.299Z
14,Modifica la prenotazione di desk 18 al giorno 24/01/2025 dalle 07:43 alle 10:43,modifica,desk 18,2025-01-24T07:43:24.299Z,2025-01-24T10:43:24.299Z
15,Cancella la prenotazione di ufficio A per il giorno 06/02/2025 dalle 13:43 alle 19:43,cancella,ufficio A,2025-02-06T13:43:24.299Z,2025-02-06T19:43:24.299Z
16,Prenota auditorium per il giorno 07/01/2025 dalle 11:58 alle 18:58,prenota,auditorium,2025-01-07T11:58:24.300Z,2025-01-07T18:58:24.300Z
17,Cancella la prenotazione di sala riunioni per il giorno 30/01/2025 dalle 13:58 alle 17:58,cancella,sala riunioni,2025-01-30T13:58:24.300Z,2025-01-30T17:58:24.300Z
18,Modifica la prenotazione di ufficio A al giorno 22/02/2025 dalle 14:13 alle 17:13,modifica,ufficio A,2025-02-22T14:13:24.300Z,2025-02-22T17:13:24.300Z
19,Cancella la prenotazione di auditorium per il giorno 03/02/2025 dalle 10:58 alle 20:58,cancella,auditorium,2025-02-03T10:58:24.300Z,2025-02-03T20:58:24.300Z
20,Cancella la prenotazione di ufficio B per il giorno 23/02/2025 dalle 04:43 alle 07:43,cancella,ufficio B,2025-02-23T04:43:24.300Z,2025-02-23T07:43:24.300Z
21,Modifica la prenotazione di ufficio A al giorno 14/01/2025 dalle 11:28 alle 13:28,modifica,ufficio A,2025-01-14T11:28:24.300Z,2025-01-14T13:28:24.300Z
22,Prenota desk 18 per il giorno 23/01/2025 dalle 12:13 alle 22:13,prenota,desk 18,2025-01-23T12:13:24.300Z,2025-01-23T22:13:24.300Z
23,Prenota ufficio A per il giorno 20/02/2025 dalle 09:13 alle 18:13,prenota,ufficio A,2025-02-20T09:13:24.300Z,2025-02-20T18:13:24.300Z
24,Cancella la prenotazione di ufficio B per il giorno 04/01/2025 dalle 09:28 alle 18:28,cancella,ufficio B,2025-01-04T09:28:24.300Z,2025-01-04T18:28:24.300Z
25,Cancella la prenotazione di desk 40 per il giorno 26/03/2025 dalle 04:28 alle 09:28,cancella,desk 40,2025-03-26T04:28:24.300Z,2025-03-26T09:28:24.300Z
26,Cancella la prenotazione di auditorium per il giorno 01/03/2025 dalle 23:58 alle 08:58,cancella,auditorium,2025-03-01T23:58:24.300Z,2025-03-02T08:58:24.300Z
27,Prenota ufficio B per il giorno 16/01/2025 dalle 12:58 alle 21:58,prenota,ufficio B,2025-01-16T12:58:24.300Z,2025-01-16T21:58:24.300Z
